Stations,River,Lat,Long,geometry,hydrological_dist_to_nearest_BF,num_upstream_BF,hydrological_dist_to_nearest_IND,num_upstream_IND,CrW,NiW,CuW,AsW,CdW,PbW,MW,SandW,SiltW,ClayW,FeW,RI,AE_00,AE_01,AE_02,AE_03,AE_04,AE_05,AE_06,AE_07,AE_08,AE_09,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63
S1,Dhaleshwari,23.91026,90.229845,POINT (10044340.399756001 2742476.70627368),0.0002,6,0.006789622,2,106.58,34.35,69.95,9.12,4.43,105.9,30.69,16,51,28,29400,133.26Ê,0.37255282659423916,0.4057740750469625,0.29445720242171297,0.7287900004009573,0.289308538968152,0.561547015774807,0.6059514426361334,0.6068872192836423,0.5370716823263293,0.4462870937472896,0.36538866828967576,0.5234143929095555,0.2961064334568293,0.5562533586941194,0.7076017055965678,0.4344207348851731,0.7128429253128029,0.34834902475466617,0.5399157034103016,0.5151501050376714,0.49218990148405073,0.44217633656178035,0.3027965749036644,0.31079163207603905,0.28162694558784773,0.47614410807050783,0.3255633770590717,0.5126718544223138,0.6120371646799325,0.5923277405900413,0.2709107399740176,0.6610979329407398,0.4615434033863612,0.6110150576256566,0.2848819195916406,0.4711943002836931,0.7081582297859119,0.5304598788052997,0.44213622771857364,0.39351291310823594,0.6551888669866424,0.5073678795569574,0.2666324771898854,0.36179010554294927,0.4174048005106754,0.602364931809237,0.261070801533515,0.5893970865504803,0.5744197124142258,0.5206932664473538,0.32216523898720556,0.47856587053236477,0.6350582748746852,0.29078283584093556,0.43672485166223846,0.38375882372309356,0.3228652843726168,0.6643247775030312,0.7241157608927888,0.5611470374384854,0.5565456088898881,0.3930473742002765,0.46219014655904855,0.334105800634725
S2,Dhaleshwari,23.858227,90.240038,POINT (10045475.079325657 2736141.9436627394),2e-05,1,0.0,0,104.28,27.1,75.12,13.79,3.82,96.14,32.41,16,62,27,32100,115.16Ê,0.5824352322641224,0.7163606873440469,0.672030495276818,0.4774279935648737,0.5091118067345282,0.6216176984734361,0.25450453914503784,0.2953955214426278,0.5506800848309148,0.5020067259547665,0.4793930976863747,0.7207990550900556,0.32580716273392407,0.624763938987577,0.6921753061811644,0.29352685128370715,0.4336860105408519,0.700439931528523,0.43690240947009523,0.6893413102577137,0.25237685416966665,0.507467349008921,0.29969504822378196,0.3708193773156848,0.7422175442739892,0.6604283136796213,0.4666493666276714,0.6897507751224878,0.6321447491982448,0.6556083266190851,0.7102459320524745,0.6309257376721767,0.5222753087099533,0.4692865969484616,0.2793736371829338,0.3190500272841327,0.5770954892609602,0.33450511320879084,0.3052981924509501,0.5006151996986776,0.3582813586085112,0.5347051380532528,0.3702676018624199,0.5250533654412328,0.6957177792168495,0.4425496894441214,0.5173002594575407,0.3754290266108347,0.7061780146589323,0.7160350469630272,0.5685024450418011,0.7033385114073285,0.491958363554184,0.3411426174441222,0.6070500905911964,0.3020972209067161,0.5173385951021116,0.27912094970744517,0.4072555780379691,0.433731244738529,0.38711503725384483,0.32647425950197595,0.5082974702533443,0.6976272641808657
S3,Dhaleshwari,23.802571,90.24539,POINT (10046070.861240383 2729368.914036628),0.0002,6,0.0021,4,89.77,59.33,71.13,26.17,2.95,77.36,30.14,57,30,17,27970,107.92Ê,0.7371790447129929,0.36950951584638664,0.3498873460991707,0.2959941751615738,0.5040076717633101,0.25328631753126546,0.6989152298566501,0.36790774616890576,0.6299849350962738,0.6703634941270977,0.5759895416298593,0.6251155979521748,0.6157833209661768,0.7317893239808777,0.6579421783989012,0.30849972040402174,0.6523270061641755,0.3145155055097522,0.5351674126211423,0.6962349448284096,0.5160253867217579,0.4406371259328246,0.516225347145674,0.4315367014756846,0.4194542769137077,0.58138071266406,0.6261453719772152,0.4614189349545919,0.3302989021879759,0.30800257532169245,0.34365617765940387,0.6521940430360864,0.40128001002903496,0.7379328604935045,0.7228464280821374,0.28537773916450343,0.2530846342493104,0.36297725106209094,0.39002311567794795,0.7228936556163991,0.5204062785621006,0.3960664776511322,0.3770891556855942,0.29291848025652223,0.4240377673022749,0.7199778268657031,0.40107603884596704,0.3355122200344921,0.40249064603322043,0.36939631193610833,0.6883137106677748,0.40454070195047254,0.5949984961462373,0.4956008607374751,0.537539114940237,0.6849990263204837,0.606856742359312,0.5461122460219073,0.5599799276006181,0.7305305183104749,0.6408753809638187,0.46566999175727614,0.3184719123403731,0.3274255936109715
S4,Dhaleshwari,23.754298,90.246581,POINT (10046203.442753918 2723496.704977303),0.073025954,2,0.027233506,6,71.55,49.17,92.34,25.35,2.36,90.48,29.58,71,18,13,25780,126.51Ê,0.302348376798724,0.4155200986360272,0.6499317930609059,0.3700928915403287,0.661783457061724,0.5770093115227746,0.5561920670835672,0.5140780208499629,0.3411032302894546,0.501858686057733,0.7310025535893396,0.6223060783833747,0.6362407011611395,0.30463894887333065,0.692665476452047,0.33835610930359505,0.6399308612001897,0.2628750028572281,0.5777837589790829,0.25452257549329427,0.5137850426253212,0.2558535819555508,0.5845394977021114,0.568681848319467,0.3825916193028088,0.5450539118699,0.3907977157629937,0.35297300223344913,0.4570002685537078,0.26293014089712746,0.49701394870390003,0.32427014944314164,0.44674304887401484,0.6199537400069801,0.6713450241650898,0.37361091010449565,0.3625746800363053,0.263401747205786,0.7218683938835975,0.3901246772516175,0.47849234724445405,0.7226317511576124,0.71983485447325,0.2890662274794074,0.3228898398125266,0.42792384851096477,0.709036588136492,0.7114685132661067,0.3058294631728307,0.4377435142516324,0.7453605992953605,0.6389623340385522,0.5849110266048719,0.48037290293678736,0.2717674640182247,0.650057804576249,0.38314459925414224,0.6014849379603222,0.7325667040563244,0.7043377490534672,0.2644015412403039,0.3702730066186135,0.36839220886726154,0.5878569681138763
S5,Dhaleshwari,23.702157,90.277077,POINT (10049598.24194515 2717156.4153029486),0.074112534,15,0.1221633,5,100.15,50.68,100.22,28.37,2.1,79.1,33.78,75,19,9,36480,147.44Ê,0.4061305591503585,0.3395082809811707,0.2769576448895819,0.5935301095201431,0.5338579094922683,0.41467630759249474,0.2635961066520174,0.48565125114275465,0.5470426049931021,0.4518660263796721,0.6411837131196833,0.5796927211181155,0.6972244267993585,0.35283839296792424,0.4502621622228796,0.2597758916642852,0.5217465506898984,0.30873470142901616,0.405866412026482,0.30540503873860103,0.6470752888748874,0.3231581990610756,0.430950301133171,0.4762180290348986,0.2591662976749732,0.6090936314880577,0.4037974082068945,0.6186549667270149,0.44852278211787266,0.5344895419953508,0.4725728628077187,0.3539299540486407,0.6613187964190292,0.6613011493987712,0.47192707284638713,0.6024617545835304,0.6091306060022316,0.29409234791972794,0.6620031953092286,0.4541176561751369,0.2753784220478907,0.5557578695031293,0.5986434427630338,0.4939541224889806,0.7380504269398982,0.6742296469385445,0.517353260714855,0.5026118085245281,0.44203014907111476,0.6317262819076364,0.5048781170797145,0.28944669784751625,0.7084103657781224,0.5268043023224556,0.7079523615394585,0.6486863175994005,0.7248799497749426,0.5316809051710816,0.651580023279845,0.32627248526728747,0.5007754224273825,0.6876211463707352,0.4079154426081226,0.532484217546211
S6,Dhaleshwari,23.657826,90.317763,POINT (10054127.386747565 2711767.8054846074),0.059847162,16,0.017011564,8,86.2,23.32,189.14,14.2,1.5,63.44,31.45,69,23,15,35130,120.3Ê,0.3705584300196338,0.5700889273906845,0.5521010069398824,0.5540602277308089,0.7074934014591121,0.37522166037098215,0.5994534885749063,0.5949222649434738,0.42724941997048843,0.37556680567403933,0.6934432861955008,0.5077757264183544,0.36782863041906527,0.5535417168664659,0.6010351846600948,0.6154246644202332,0.6110180690422689,0.6286669412884163,0.5977241309724581,0.3601666472126082,0.5433329477164259,0.7237226991883168,0.5948867957992792,0.5096570952712564,0.6925519528290749,0.3913719663026929,0.41021982641942534,0.5074647014384066,0.5156062143618347,0.6822580913431422,0.38486593803955244,0.6625851056398903,0.39211106113201954,0.3134675949444893,0.40899149571704096,0.620617134131209,0.6603940891473827,0.4504824623383247,0.5335516053710564,0.49791570348320263,0.37870223130617153,0.27811568699694816,0.529192471515585,0.7353626930764106,0.3762125627226894,0.619659258102044,0.4467023237584559,0.4453582569588188,0.6072132182246801,0.6571573386769692,0.508791442821793,0.5528782904947696,0.5908912975731788,0.3128819855360183,0.5036191615660925,0.6023954823818908,0.31258988831454915,0.6414928802429665,0.409359887493188,0.27523639566958874,0.5625798244484904,0.610521698089097,0.29824125627713366,0.3508981432616346
S7,Dhaleshwari,23.628,90.388647,POINT (10062018.157532955 2708143.364201993),0.002,26,0.054891434,9,105.53,22.18,112.23,21.37,1.36,40.55,30.98,15,63,28,38900,120.94Ê,0.3432199561305088,0.6446840812071746,0.43322930298058526,0.5790237067415764,0.4590782793144029,0.398765816290822,0.30986260400868404,0.5722566208992091,0.6893249498752632,0.3880972754592936,0.4595759062529729,0.2873872872113544,0.33869363655776125,0.39021176060343254,0.42234192880212534,0.42799412546915533,0.4693576644396794,0.7346494923142797,0.3092447731485236,0.6152235116983676,0.2855655890773505,0.7410052664686336,0.6007155079421914,0.47538435477033114,0.6552226895902584,0.6905577973870227,0.44619353752028684,0.5697703588451793,0.6101751432754459,0.6080410184805154,0.7207026328038753,0.47638614697427045,0.2528980035939631,0.40491994564455674,0.6058765901788806,0.5370492441253603,0.5987018507062767,0.3411466778042552,0.5329735449754018,0.5985312381081185,0.37203388519368985,0.3198692120574134,0.46805997093255836,0.6839586852179452,0.7163506417032073,0.30896186173148443,0.2969528345800016,0.4410564132146486,0.5600509064494157,0.335136230321757,0.334906604950472,0.6082324421209427,0.48573632981636683,0.3592262924674374,0.5988342039369114,0.6318228650115196,0.38326342521391366,0.719926842934339,0.28647990892694997,0.5898445219195814,0.6918250710910756,0.5544731104470144,0.5054400144051105,0.47186569599787526
S8,Turag,23.877666,90.350573,POINT (10057779.779240493 2738508.2485546176),0.069148629,31,0.011071348,12,18.19,81.17,100.19,12.54,3.69,233.47,30.74,9,52,43,44210,202.03Ê,0.7474176145709335,0.3063061088354107,0.26171714437141397,0.378657832706422,0.3241606395607988,0.3608919975883577,0.3407089726273713,0.5595138726911459,0.7131498010559969,0.40399659155811896,0.4534759396332315,0.47731420271154557,0.5413462240036269,0.43129157315927513,0.5674060081042684,0.5635768621032049,0.3173936876104109,0.5303659219433832,0.41926445346529095,0.33980808253580636,0.31858008646248503,0.6764073412822309,0.7258692029351996,0.47970772412426543,0.5501840999965782,0.3983851518744146,0.4188545995443127,0.5536766640576561,0.5514356192241985,0.3500217613211606,0.3646132876624358,0.263508185764017,0.5345583642581937,0.3238429678149115,0.6733370446580331,0.5423199834228858,0.33353884213972423,0.3297193499553852,0.2527531071755427,0.4007158033256707,0.6577065031597789,0.5118412197326039,0.36376449985494247,0.6255402234503212,0.5102386421415593,0.6401980514280045,0.2796708829137447,0.4571197490834595,0.34392148834027153,0.625447781274943,0.5218216185322395,0.38416308614927097,0.48400536110633635,0.3711680171982271,0.6380115637399577,0.48224476890005247,0.4631656537287141,0.3373651632312913,0.5562010916774357,0.2648006002543133,0.7310799862809412,0.568699318784438,0.5598667972522197,0.27599286614885515
S9,Turag,23.826986,90.342201,POINT (10056847.81246357 2732339.727732372),0.071188392,19,0.038213203,3,17.16,85.22,105.64,14.23,5.14,250.11,33.67,16,25,63,43980,320.26Ê,0.4832533677648347,0.46649362266830013,0.3185449759628281,0.4075472402941029,0.4072027814973847,0.7302153722000159,0.4271143148093452,0.41824692317168016,0.644750858023978,0.25495058364391354,0.5865191667239575,0.6254783927239933,0.2936383769417806,0.3434109291918256,0.6378883185122521,0.7360821829121675,0.45725462652295995,0.48390568053388655,0.2955286856857507,0.5136480497449301,0.5511501449590097,0.6225114129306464,0.7219369985949806,0.7463296971187623,0.6119941507682795,0.41815506299621963,0.6076699735281275,0.4313089253841015,0.6972091002651346,0.25739492991156393,0.43515475137518383,0.27253764190993046,0.3413151767695023,0.33479325448237435,0.35628426735815916,0.5863912252779728,0.5083581791640774,0.28331029431595955,0.40117881249696563,0.4153161036194049,0.41459680613347166,0.42912738843346226,0.42200962310266077,0.6344253562843019,0.34539650675063716,0.5365007693180428,0.6033918440883588,0.5722009051997232,0.31158345632134393,0.28974487682161365,0.3866763036632451,0.5178618304042312,0.7053421488208168,0.695458689396488,0.5197439659238889,0.35806887674983173,0.602788614192237,0.7040477275078354,0.6743677183912843,0.6231062552582196,0.6812627037490244,0.43970301844531734,0.7233500106327269,0.6135672628604065
S10,Turag,23.792572,90.339601,POINT (10056558.381787509 2728152.3983553937),0.027388047,19,0.014003668,2,13.56,57.59,98.65,19.87,2.9,217.8,31.47,7,60,30,47390,225.63Ê,0.4656268326222994,0.661165629559112,0.34940246445013023,0.47458135591663153,0.5916831861398975,0.6533957819856642,0.3063406522681364,0.6589137476527351,0.2839541450276993,0.5063551468478431,0.6971496412581195,0.3581284440491127,0.5456207773278852,0.5380184472999539,0.6225589233268973,0.3768257154921433,0.3956668326547026,0.442433233050591,0.6925448238420562,0.3246304418579996,0.4420964923540714,0.4644772467665632,0.4964311322975493,0.7224489105457124,0.5320059730409933,0.43796435499945374,0.603497896192501,0.36475666964585984,0.6454865481076459,0.2622013026732093,0.5318603489651432,0.4526626292084042,0.5280846196130671,0.645289157555174,0.6423683006316302,0.6009823845496323,0.4214748378094974,0.26403271109182636,0.7291429862820515,0.39728294484227106,0.3390788694616092,0.2554226724053223,0.6385432467837434,0.5897970849955886,0.3135296612204188,0.6858035915793057,0.6750162763405402,0.41164038781405893,0.2874333199171064,0.3607518417954861,0.40403856541644656,0.3899052764674878,0.6123937243848956,0.3508248911005072,0.46616747064345265,0.3426183525254869,0.7190301690581671,0.38114387891464485,0.42795495703604386,0.353761352166037,0.4401091126238991,0.6237597654273769,0.28432352059146293,0.26725743812716646
S11,Buriganga,23.716059,90.359274,POINT (10058748.370129883 2718846.6356903426),0.045101812,1,0.042026515,2,93.3,71.63,177.37,12.81,7.1,259.1,30.19,72,21,17,40100,340.09Ê,0.5909814388142396,0.28362400602972354,0.5435197985585641,0.6296606719822182,0.5107207582355202,0.4193804620173326,0.37340534867637926,0.7079874514282095,0.3486732374163496,0.41199179765666427,0.6386265257433977,0.7388532403330694,0.31320984974147725,0.2981675187809194,0.5203839283980323,0.7411582290024605,0.4668583278767629,0.5852632469351686,0.5110856054243558,0.6879677563662877,0.6970371147111394,0.5666094216381428,0.3741999207539374,0.5158283340534964,0.3255289481333738,0.47696921276963966,0.28988134351309086,0.4359024799123946,0.4605744822890546,0.6067774447648987,0.6710003858485847,0.311268125898806,0.7270405619934701,0.5882107596727623,0.7084686768844046,0.32809190132611565,0.6922498091608715,0.37935888713572197,0.31591134901702533,0.6675539570355795,0.40785793592056535,0.3081701604426854,0.7353017964123159,0.6610777382026718,0.6837665364546763,0.7296066489189669,0.30036699110569537,0.5946727076172428,0.5830221957074851,0.4052097784402574,0.4735224784440007,0.545007779224922,0.27503036491239485,0.7377198650721655,0.6955769217659582,0.31203285470767805,0.4557436400011109,0.38571978011575053,0.5929415610988639,0.39067309439503667,0.5973267293677141,0.5408600716371241,0.4239880752699293,0.7231677098932816
S12,Buriganga,23.664709,90.451701,POINT (10069037.296705434 2712604.341706875),0.087210959,2,0.0046348,8,118.1,79.25,261.1,9.32,9.1,297.4,31.47,16,28,58,44600,386.12Ê,0.6120027021465387,0.4747422729076868,0.3032940125446491,0.3660787221286431,0.45770306144511547,0.395203703296109,0.5370272067635573,0.4025413957321215,0.33025565989076944,0.47036288405883436,0.3238187782411702,0.37094768980654386,0.38686656059001956,0.33523646344525565,0.4470834286189594,0.38058256040343863,0.5780507239629067,0.45577257674074445,0.6454247992892994,0.38575850284036595,0.49188850036355614,0.5547313493563508,0.7335286616200236,0.5446456516903119,0.3051841848483757,0.33545109703871756,0.5720906740479027,0.6665908141934245,0.45806125540387577,0.6560560847344713,0.5375159753694179,0.5012345719034697,0.549127851192352,0.25791243244373635,0.4485875810744518,0.5143637453703953,0.740109631073808,0.5052061529445286,0.3200822033793458,0.5788688547617843,0.7104621678419871,0.3944074844430234,0.7365252420920663,0.321052800226824,0.620692804358889,0.4501454962682792,0.6902383420510783,0.4655073518004067,0.6674454859475496,0.29594214160968835,0.30297128294437087,0.7337274869621611,0.42698679537523365,0.31806598009401205,0.32479692838725155,0.313810004096361,0.3226090635860506,0.5540476399299228,0.3816015067949392,0.6283562460751728,0.41173273738195204,0.3587117085303835,0.7047374862140375,0.6502569264543725
S13,Balu,23.7640048,90.4825378,POINT (10072470.033579128 2724677.3216521908),0.00256,11,0.067092512,1,17.11,39.41,75.15,7.49,2.31,64.1,33.58,75,19,9,30460,92.84Ê,0.43867381308194114,0.3745559620010528,0.44199703065332546,0.31878147704142346,0.49792520587593847,0.5179838319894934,0.6122865913499951,0.7421207250560842,0.734681057483637,0.6531100327964634,0.2643134535369392,0.46446024068215436,0.6244837660848017,0.7027774008943668,0.6513740003524754,0.562725575804656,0.29104850137591415,0.3183483956950747,0.45543389724728395,0.4944004533603317,0.656540464435417,0.3633514412906413,0.30315480507716325,0.5357796626740353,0.6157812632152206,0.7042851745518519,0.33057651687545647,0.48918204155504735,0.4268180578847489,0.47508567181934197,0.5747779511059248,0.43731564331693284,0.38567461484564125,0.47975920952376117,0.41815177819831884,0.6587305527126954,0.49830341835602315,0.30388933328944095,0.503796640540937,0.5443987980761131,0.5523333190430337,0.6161915941510716,0.44952456088334036,0.6180471215019289,0.26814910710025264,0.33244591755070996,0.4041754102234574,0.37285724822580224,0.578155035233178,0.5965915392564225,0.40142227299166133,0.5379405357377085,0.7061600417379816,0.48976377763408646,0.36633215909635747,0.7298031818611865,0.3480781637976924,0.6501021645576552,0.5869383584879189,0.5063726530438981,0.536352312590908,0.45293437151263644,0.7314550938377169,0.44563192746173647
S14,Balu,23.808202,90.484506,POINT (10072689.132600907 2730054.043742744),0.0,0,2e-05,1,12.9,25.78,79.57,8.53,1.53,59.8,34.9,18,54,30,31790,81.26Ê,0.4215489959502231,0.6814324945849116,0.29009654013386477,0.391182705420905,0.5523345476773639,0.6338561445298874,0.29475044871976264,0.4119496445192603,0.38964888201119485,0.48910245449082806,0.5122618142643702,0.7375519439459723,0.3732123905427241,0.26574251009626804,0.4373263541928145,0.3021204101145786,0.310920139551796,0.3739678466011611,0.31630999176655666,0.6201974171011085,0.7193464281184527,0.7061647926191423,0.5638129027026952,0.277265154380713,0.7377226310272347,0.31597612814787807,0.715920289496681,0.42973291125430474,0.7052461305786502,0.5025938957684735,0.2504853383441898,0.6071029111377184,0.43337409252750825,0.6285312806588197,0.3669261667914539,0.5355577374531095,0.3642081040441173,0.7158162426486268,0.6893036718942598,0.7481335895009813,0.3930200147098772,0.4697897362078802,0.7358927442513783,0.337807663408491,0.7403620704603495,0.5350090838071003,0.6203044352318722,0.4713558289092682,0.32031746376444004,0.49658923188246135,0.3512967664442286,0.5493266581241139,0.6381152098658531,0.5616856384144593,0.6062304217480461,0.27510916854440687,0.42870459430660757,0.40660961480585983,0.31661611746312945,0.3052377519322433,0.3637144355325258,0.3123067035683979,0.5341734792711523,0.6579788047703345
S15,Shitalakshya,23.83271,90.548478,POINT (10079810.463065935 2733036.304108891),2e-05,1,0.0,0,80.03,28.1,105.2,20.68,9.11,96.87,35.64,12,63,28,33460,187.61Ê,0.605824145199693,0.5673839982205936,0.460167291496782,0.7412672436732743,0.7320520545782749,0.6912372047442567,0.3285968871679437,0.2627695351846543,0.6218030265188338,0.2604491100119692,0.5982734204341895,0.5388684958763112,0.5414159189623069,0.6829585593342092,0.6857838571462422,0.3903847012899286,0.6267954012949403,0.3824459549278917,0.5965195006547375,0.6217748941722541,0.6809008966558494,0.2614099857066108,0.3263540977354276,0.6623756214014975,0.26472704685032084,0.64028733377096,0.6803172081026048,0.7252329699426077,0.5190724817936705,0.6063037298091158,0.3108198483517104,0.2758008209162653,0.4377692034706616,0.6222211584851933,0.495798018949925,0.5761632036813374,0.6201407182175023,0.5772689813796689,0.6142803830329266,0.48085293094889225,0.688572879596815,0.27986862578525357,0.43272897932339655,0.63162456101802,0.2844508613345355,0.2554690445719322,0.7252752107745263,0.4524534248392772,0.7345207081142856,0.35924715530896784,0.5889488709604188,0.606488660713006,0.32667020050496154,0.6414012264018676,0.5680540233027884,0.5717994480280884,0.2671608307337189,0.41682328717151634,0.316111750687765,0.31300392041533176,0.25316647992105407,0.5694666186405122,0.7185671664909259,0.5652857387846435
S16,Shitalakshya,23.715818,90.504423,POINT (10074906.282899037 2718817.333112144),0.0023,11,0.008102934,8,62.13,71.22,115.48,19.83,14.93,190.4,32.15,15,28,61,34100,232.42Ê,0.41203539006717294,0.42601990836435244,0.38029344735691395,0.34281770805512496,0.332827661637366,0.6627405629182272,0.576330697092804,0.7130297643348262,0.29406495003502864,0.2908803112534465,0.3606938641429036,0.42834383276429805,0.5695351826704382,0.4969820585327124,0.5449859494193978,0.3017877574500828,0.6895422157811992,0.5381501846418504,0.29685026902795886,0.5557759143281238,0.7422903306399598,0.3228432204229176,0.27231204632840683,0.4805516577560504,0.2946625726960596,0.5400690584221982,0.6271613143716019,0.622717670554099,0.38266721168774864,0.4682907055754109,0.34769609020188663,0.32658589806468635,0.6009203634680368,0.6456319908756385,0.4475054544116857,0.4293216752551896,0.4339868364068911,0.39549585018964395,0.7226580990533774,0.32729271776088564,0.6584856409332951,0.6803251696108814,0.6515389133363196,0.35186175084806454,0.4488417231732853,0.6548345470312593,0.6587766820566683,0.682000981915246,0.7473879643949499,0.42875306316650125,0.671735585334793,0.4036090096933679,0.32370783767060074,0.44130510770943226,0.28669484002755985,0.6876858625562652,0.39293102514025935,0.3338068755988783,0.71803049023727,0.3041160971153567,0.5299734007001127,0.739527713522067,0.6124831468529626,0.6301857501546183
S17,Shitalakshya,23.62842,90.514128,POINT (10075986.638557186 2708194.3966693203),0.0025,25,0.002,20,58.8,69.53,169.29,21.77,12.7,210.65,30.28,18,27,59,26710,231.42Ê,0.555595301500175,0.5017459803771498,0.29856986062960844,0.5222263009219639,0.7354471360585064,0.33861224274541996,0.5123298405128,0.7223229220719511,0.6711379270952298,0.271608429978478,0.3267573264726982,0.5371477729451446,0.7153583879068354,0.5535359822478987,0.5163747748678538,0.25023976470994574,0.7254028581976024,0.40340461298534325,0.3397156494530049,0.534438680870507,0.402053130665046,0.48139224173730943,0.34687976231184237,0.45645623377061045,0.5200049338983039,0.7016620169571739,0.6859734898810981,0.540062218572891,0.6621336146838426,0.4544031361201901,0.416633489033688,0.4066623578869057,0.6777823461702877,0.6817335521220197,0.5050808559360598,0.5459876286729726,0.5543329353729212,0.4474034581936417,0.5343474992354604,0.5973267628105641,0.2929055618928627,0.38892600667882066,0.7343897140893171,0.7279765095735136,0.2562587909479428,0.6364973576016006,0.3796566135786142,0.6280947557105252,0.42536838239843755,0.7407565653673187,0.2791008864734704,0.5559565905029163,0.6889454311945775,0.25718990459477553,0.6722236347206121,0.4864266549092713,0.47360539579440497,0.7127183586053587,0.28922520349190245,0.2551319777979217,0.30244704615002077,0.6788967977938065,0.5228448654193202,0.40246304156932333
