CrW,NiW,CuW,AsW,CdW,PbW,MW,SandW,SiltW,ClayW,FeW,RI,Long,Lat,Source,num_brick_field,num_industry,hydro_dist_brick,hydro_dist_ind,LULC_2017,LULC_2018,LULC_2019,LULC_2020,LULC_2021,LULC_2022,CVA_Magnitude,CVA_Direction
98.06,38.56,73.26,11.24,4.18,112.68,30.93,18.11,51.46,28.32,30918.91,134.23,90.24,23.96,River_Interpolated,1,1,1622.59,2350.53,1,1,1,1,1,1,0.0,0.0
99.98,37.53,72.57,10.86,4.22,110.88,30.9,17.71,51.47,28.21,30600.68,133.67,90.24,23.95,River_Interpolated,1,1,770.25,1351.45,1,1,1,1,1,1,0.0,0.0
102.6,36.17,71.59,10.3,4.29,108.51,30.84,17.17,51.4,28.06,30149.67,133.04,90.23,23.94,River_Interpolated,1,1,1248.12,503.12,1,1,1,1,1,1,0.0,0.0
104.61,35.19,70.8,9.79,4.35,106.92,30.79,16.67,51.28,27.98,29789.13,132.84,90.22,23.93,River_Interpolated,1,1,2003.28,1400.06,1,1,1,1,1,1,0.0,0.0
103.75,35.52,71.21,10.24,4.3,106.91,30.85,17.19,51.45,27.88,29968.86,132.17,90.21,23.92,River_Interpolated,1,1,1662.69,1915.44,7,7,7,7,7,7,0.0,0.0
105.72,34.69,70.34,9.44,4.39,106.28,30.74,16.31,51.16,27.98,29576.84,132.99,90.23,23.92,River_Interpolated,1,1,2564.24,805.16,1,1,1,1,1,1,0.0,0.0
106.42,34.41,70.03,9.18,4.42,105.96,30.7,16.06,51.04,27.99,29434.67,133.19,90.23,23.91,River_Interpolated,1,1,2943.45,486.22,1,1,1,1,1,1,0.0,0.0
106.05,34.47,70.23,9.38,4.4,105.95,30.74,16.22,51.21,27.96,29532.31,132.84,90.23,23.9,River_Interpolated,1,1,2030.12,277.55,1,1,1,1,1,1,0.0,0.0
104.57,34.54,71.18,10.27,4.29,105.59,30.93,16.88,52.15,27.8,29979.36,130.94,90.23,23.89,River_Interpolated,1,1,1958.99,1023.55,1,1,1,1,1,1,0.0,0.0
102.48,32.93,73.4,12.49,4.02,102.34,31.56,17.91,55.68,27.27,31075.55,124.16,90.23,23.88,River_Interpolated,1,1,2275.03,2346.04,1,1,1,1,1,1,0.0,0.0
103.82,28.38,74.89,13.92,3.82,96.17,32.25,17.35,60.37,26.72,31818.24,116.02,90.23,23.87,River_Interpolated,1,1,2779.87,4008.29,1,1,1,1,1,1,0.0,0.0
103.94,27.78,75.07,13.98,3.81,95.93,32.34,16.88,61.19,26.79,31978.44,115.29,90.24,23.85,River_Interpolated,1,1,3286.72,2291.56,1,1,1,1,1,1,0.0,0.0
99.03,37.13,74.56,17.37,3.55,91.39,31.58,29.48,50.83,23.74,30558.26,114.73,90.24,23.84,River_Interpolated,1,1,1938.95,579.87,1,1,1,1,1,1,0.0,0.0
92.61,50.36,73.32,22.64,3.17,83.56,30.65,46.91,37.4,19.46,28837.45,111.68,90.25,23.82,River_Interpolated,1,1,531.8,388.91,1,1,1,1,1,1,0.0,0.0
89.14,57.8,72.09,25.61,2.97,79.77,30.23,55.29,31.22,17.41,28260.25,109.8,90.25,23.81,River_Interpolated,1,1,811.73,995.14,1,1,1,1,1,1,0.0,0.0
89.66,59.21,71.25,26.13,2.95,77.58,30.14,56.91,30.06,17.02,27988.57,108.12,90.24,23.8,River_Interpolated,1,1,2116.97,1057.49,1,1,1,1,1,1,0.0,0.0
86.19,55.1,77.44,25.48,2.82,81.52,30.21,59.18,28.12,16.22,27860.66,114.03,90.24,23.78,River_Interpolated,1,1,1486.61,451.73,1,1,1,1,1,1,0.0,0.0
74.82,49.88,90.05,25.32,2.44,88.89,29.81,68.69,20.05,13.55,26419.25,124.97,90.24,23.76,River_Interpolated,1,1,2282.88,1154.34,1,1,1,1,1,1,0.0,0.0
72.25,49.59,91.92,25.4,2.38,90.91,29.71,70.12,18.75,13.18,26269.23,127.25,90.26,23.75,River_Interpolated,1,1,2083.94,679.27,1,1,1,1,1,1,0.0,0.0
73.82,51.94,90.7,25.47,2.47,98.6,30.56,63.17,24.21,14.64,30009.39,136.4,90.28,23.76,River_Interpolated,1,1,1775.53,2800.7,1,1,1,1,1,1,0.0,0.0
77.22,51.03,92.59,25.88,2.38,93.59,30.8,66.98,21.83,13.36,29915.08,135.59,90.27,23.74,River_Interpolated,1,1,3139.37,2657.8,5,5,1,1,1,1,4.0,-4.0
78.15,49.33,95.18,25.6,2.33,86.85,30.4,70.73,19.1,12.62,28063.51,128.77,90.25,23.73,River_Interpolated,1,1,2399.64,2450.8,1,1,1,1,1,1,0.0,0.0
92.67,49.4,101.5,26.91,2.17,80.76,32.57,72.99,19.49,10.55,33657.24,139.66,90.27,23.72,River_Interpolated,1,1,3654.19,2969.24,1,1,1,1,1,1,0.0,0.0
98.93,50.05,103.82,27.65,2.15,81.21,33.56,74.68,19.13,9.39,36224.27,148.57,90.27,23.69,River_Interpolated,1,1,588.43,2790.19,1,1,1,1,1,1,0.0,0.0
92.7,41.44,138.95,21.74,2.21,85.42,32.41,72.27,20.61,12.06,35580.27,148.31,90.29,23.67,River_Interpolated,1,1,2162.54,492.6,1,1,1,1,1,1,0.0,0.0
87.01,25.0,185.06,14.74,1.61,66.83,31.5,68.61,23.31,14.99,35299.66,124.74,90.31,23.66,River_Interpolated,1,1,3747.42,539.82,1,1,1,1,1,1,0.0,0.0
89.15,27.88,176.82,15.48,1.9,75.42,31.44,64.59,26.31,16.02,35879.24,136.64,90.34,23.65,River_Interpolated,1,1,2192.74,1248.31,1,1,1,1,1,1,0.0,0.0
101.71,29.17,139.62,18.74,2.23,75.05,31.04,29.34,50.5,26.42,38597.06,151.54,90.36,23.64,River_Interpolated,1,1,771.06,2096.72,1,1,1,1,1,1,0.0,0.0
103.98,31.98,138.18,19.47,2.93,83.43,31.03,17.9,54.74,32.78,38873.91,160.89,90.41,23.62,River_Interpolated,2,1,330.01,5126.8,1,1,1,1,1,1,0.0,0.0
99.64,64.64,200.79,15.1,8.59,218.0,31.18,16.11,35.22,52.05,39088.3,288.12,90.45,23.63,River_Interpolated,1,1,570.09,1077.03,1,1,1,1,1,1,0.0,0.0
110.09,75.57,240.42,11.36,9.32,274.11,31.38,16.08,29.45,56.9,42380.96,354.68,90.46,23.65,River_Interpolated,1,1,2105.5,335.88,1,1,1,1,1,1,0.0,0.0
113.83,75.36,242.72,10.63,8.87,276.36,31.43,17.89,29.74,54.98,43615.19,362.1,90.44,23.68,River_Interpolated,1,1,4598.32,570.09,1,1,1,1,1,1,0.0,0.0
93.37,62.12,177.94,12.65,6.18,212.41,31.04,48.13,29.4,28.89,40034.02,289.51,90.41,23.71,River_Interpolated,1,1,3702.64,2635.01,1,1,1,1,1,1,0.0,0.0
86.95,67.6,168.27,14.1,6.32,239.92,30.5,66.83,24.1,17.61,40317.68,313.54,90.35,23.73,River_Interpolated,1,1,2238.34,1630.23,1,1,1,1,1,1,0.0,0.0
51.48,64.62,125.06,18.05,4.42,216.19,31.65,38.32,37.48,27.08,43129.42,263.61,90.33,23.75,River_Interpolated,1,1,291.82,1582.37,1,1,1,1,1,1,0.0,0.0
26.72,62.09,108.56,18.76,3.61,220.51,31.67,18.32,49.8,31.42,45708.84,246.41,90.34,23.77,River_Interpolated,1,1,1114.82,1321.1,1,1,1,1,1,1,0.0,0.0
14.97,58.62,99.49,19.66,3.01,218.33,31.52,8.26,58.31,30.83,47083.8,229.02,90.34,23.79,River_Interpolated,1,1,1478.7,505.75,1,1,1,1,1,1,0.0,0.0
17.21,77.18,103.09,15.89,4.45,238.38,32.93,13.9,35.45,52.74,44698.6,287.92,90.34,23.81,River_Interpolated,1,1,2130.18,1839.03,1,1,1,1,1,1,0.0,0.0
17.86,83.13,104.51,14.57,4.9,245.27,33.32,15.53,28.72,59.37,43999.98,305.06,90.34,23.84,River_Interpolated,1,1,1186.51,3827.86,1,1,1,1,1,1,0.0,0.0
19.52,79.71,100.72,13.28,3.95,233.29,31.42,10.49,47.04,46.14,44072.96,225.81,90.35,23.86,River_Interpolated,1,1,2207.98,1175.4,1,1,1,1,1,1,0.0,0.0
18.64,80.73,100.14,12.65,3.71,232.87,30.82,9.17,51.55,43.22,44160.66,204.25,90.35,23.89,River_Interpolated,1,1,700.45,1382.93,1,5,5,1,5,1,0.0,0.0
45.06,66.42,92.49,12.41,4.09,195.61,31.47,12.41,48.4,41.76,39948.51,199.22,90.35,23.95,River_Interpolated,1,1,3739.69,4035.87,1,1,5,5,5,1,0.0,0.0
54.58,61.08,89.4,12.21,4.16,181.45,31.54,13.19,48.59,40.15,38433.16,191.46,90.34,23.98,River_Interpolated,1,1,6762.59,1600.2,1,1,1,1,1,1,0.0,0.0
61.33,69.3,170.59,21.33,12.49,211.01,30.36,17.85,27.49,58.63,27560.67,235.05,90.51,23.62,River_Interpolated,1,1,3995.64,601.04,1,1,1,1,1,1,0.0,0.0
60.74,69.6,169.84,21.03,12.51,211.55,30.43,18.52,26.98,58.42,27723.09,235.85,90.52,23.64,River_Interpolated,1,1,1905.34,282.01,1,1,1,1,1,1,0.0,0.0
65.59,69.48,164.13,18.63,12.06,209.42,31.09,20.52,26.89,56.25,31265.74,245.5,90.52,23.66,River_Interpolated,1,1,2263.05,680.65,1,1,1,1,1,1,0.0,0.0
64.15,68.79,142.33,17.74,12.46,196.41,31.78,21.6,26.9,55.14,33408.84,238.28,90.53,23.69,River_Interpolated,1,1,1825.04,158.11,1,1,1,1,1,1,0.0,0.0
62.11,69.68,123.11,18.7,13.79,189.4,32.1,18.69,27.43,57.73,34025.59,231.86,90.52,23.7,River_Interpolated,1,1,3377.31,569.26,1,1,1,1,1,1,0.0,0.0
61.27,70.27,115.59,19.38,14.51,187.6,32.19,16.41,27.96,59.58,34092.61,229.59,90.5,23.72,River_Interpolated,1,1,5954.25,372.91,1,1,1,1,1,1,0.0,0.0
49.42,60.21,108.6,15.43,10.51,153.2,32.68,30.76,27.46,45.3,33434.06,192.31,90.51,23.74,River_Interpolated,1,1,3914.02,637.38,1,1,1,1,1,1,0.0,0.0
28.08,41.5,84.6,10.6,4.71,86.33,33.72,50.96,29.56,22.48,31493.51,120.24,90.51,23.77,River_Interpolated,1,1,3847.02,956.88,1,1,1,1,1,1,0.0,0.0
37.66,34.6,89.22,12.79,5.21,84.57,34.48,30.78,44.78,27.18,32145.72,129.25,90.52,23.79,River_Interpolated,1,1,4325.16,257.69,1,1,1,1,1,1,0.0,0.0
66.68,30.37,100.36,18.23,7.94,93.81,35.26,17.38,57.34,28.2,33068.47,169.77,90.54,23.81,River_Interpolated,1,1,3704.75,398.63,1,1,1,1,1,1,0.0,0.0
78.97,28.29,104.82,20.49,9.02,96.64,35.61,12.42,62.55,28.03,33429.29,186.2,90.55,23.83,River_Interpolated,1,1,2740.69,1151.43,1,1,1,1,1,1,0.0,0.0
76.32,28.64,103.85,20.0,8.77,95.89,35.54,13.35,61.56,28.07,33353.44,182.54,90.55,23.85,River_Interpolated,1,1,660.14,3022.86,1,1,1,1,1,1,0.0,0.0
68.26,30.07,100.97,18.53,8.08,94.23,35.31,16.46,58.16,28.31,33122.59,171.9,90.55,23.87,River_Interpolated,1,1,364.43,2187.64,1,1,1,1,1,1,0.0,0.0
49.9,60.66,109.14,15.45,10.58,154.27,32.65,31.5,26.85,45.19,33457.55,193.71,90.49,23.73,River_Interpolated,1,1,5896.72,905.88,1,1,1,1,1,1,0.0,0.0
35.27,50.33,95.51,11.67,6.64,113.75,33.13,49.12,24.77,29.33,32266.5,148.52,90.49,23.74,River_Interpolated,1,1,5369.55,2006.43,1,1,1,1,1,1,0.0,0.0
20.65,41.18,79.66,8.26,3.08,73.77,33.52,68.82,20.89,13.3,30872.32,103.67,90.49,23.76,River_Interpolated,1,1,5787.55,2662.29,1,1,1,1,1,1,0.0,0.0
17.83,39.34,75.9,7.73,2.47,65.63,33.61,72.35,20.32,10.31,30555.84,94.63,90.48,23.77,River_Interpolated,1,1,6525.34,1888.45,1,1,1,1,1,1,0.0,0.0
20.03,35.92,79.72,8.91,2.9,70.07,34.03,50.15,33.04,19.52,31203.95,99.04,90.47,23.78,River_Interpolated,1,1,8138.53,1750.18,1,1,1,1,1,1,0.0,0.0
14.23,26.79,79.94,8.71,1.76,61.45,34.83,20.51,52.29,29.26,31766.23,84.18,90.48,23.8,River_Interpolated,1,1,8097.72,2434.29,1,1,1,1,1,1,0.0,0.0
15.09,26.7,80.36,8.89,1.86,62.01,34.85,19.71,52.83,29.54,31806.98,85.56,90.49,23.82,River_Interpolated,1,1,7253.07,474.34,1,1,1,1,1,1,0.0,0.0
22.53,28.76,83.22,10.18,2.89,68.57,34.77,22.58,50.92,28.78,31929.04,99.29,90.49,23.83,River_Interpolated,1,1,6561.85,187.5,1,1,1,1,1,1,0.0,0.0
24.37,29.74,83.95,10.49,3.2,70.87,34.72,24.1,49.74,28.5,31945.81,103.22,90.48,23.84,River_Interpolated,1,1,7381.58,1273.28,1,1,1,1,1,1,0.0,0.0
27.85,32.61,85.81,11.2,3.39,81.56,34.53,24.69,50.41,27.41,32895.07,114.38,90.47,23.85,River_Interpolated,1,1,7431.57,2800.11,1,1,1,1,1,1,0.0,0.0
30.58,35.92,87.8,11.84,3.78,92.54,34.31,24.69,50.19,27.8,33625.0,124.99,90.47,23.87,River_Interpolated,1,1,8213.8,4508.36,1,1,1,1,1,1,0.0,0.0
30.78,39.62,89.09,12.07,3.91,103.97,34.03,24.24,49.95,28.62,34440.68,132.75,90.46,23.88,River_Interpolated,1,1,9420.2,2942.71,1,1,1,1,1,1,0.0,0.0
34.5,38.87,90.27,12.71,4.31,103.5,34.14,23.76,50.66,28.41,34359.73,136.98,90.47,23.9,River_Interpolated,1,1,8992.1,3717.23,1,1,1,1,1,1,0.0,0.0
37.64,38.52,91.35,13.26,4.65,103.93,34.21,23.37,51.21,28.28,34348.73,141.08,90.49,23.91,River_Interpolated,1,1,7777.05,5276.51,1,1,1,1,1,1,0.0,0.0
105.25,67.74,205.45,13.09,8.16,236.77,31.24,25.69,32.42,46.19,41675.9,317.43,90.42,23.69,River_Interpolated,1,1,4004.94,431.75,1,1,1,1,1,1,0.0,0.0
91.48,67.97,173.94,13.29,6.61,244.09,30.29,68.59,23.29,17.57,40051.27,322.39,90.37,23.71,River_Interpolated,1,1,3546.3,5015.68,1,1,1,1,1,1,0.0,0.0
40.49,52.03,115.13,12.42,3.89,164.61,32.18,47.62,35.68,20.36,37962.5,204.14,90.41,23.76,River_Interpolated,1,1,7457.64,5373.91,1,1,1,1,1,1,0.0,0.0
30.91,46.04,101.51,11.17,3.2,131.83,32.82,47.41,35.83,19.8,35956.37,165.45,90.42,23.77,River_Interpolated,1,1,8984.4,4443.2,1,1,1,1,1,1,0.0,0.0
30.4,50.61,95.16,13.31,4.43,145.15,33.79,13.96,50.7,38.43,37430.75,176.94,90.45,23.9,River_Interpolated,1,1,10540.47,1810.13,1,1,1,1,1,1,0.0,0.0
27.16,57.81,96.53,13.18,4.32,166.12,33.3,13.36,49.04,40.88,38941.41,190.33,90.44,23.9,River_Interpolated,1,1,9303.29,137.5,1,1,1,1,1,1,0.0,0.0
16.15,66.47,96.59,13.04,3.42,196.37,32.4,12.24,47.68,42.66,41847.35,204.28,90.42,23.89,River_Interpolated,1,1,7832.82,797.26,1,1,1,1,1,1,0.0,0.0
16.59,71.02,98.24,13.29,3.6,210.1,32.09,11.61,47.27,43.92,42778.61,214.19,90.41,23.88,River_Interpolated,1,1,6288.15,1721.42,1,1,7,1,1,1,0.0,0.0
17.3,76.35,99.65,13.19,3.72,223.94,31.54,10.53,48.42,44.33,43662.89,215.66,90.39,23.9,River_Interpolated,1,1,3997.21,454.49,1,1,1,1,1,1,0.0,0.0
20.18,79.13,99.95,13.02,3.79,230.67,31.07,9.72,50.21,43.81,44000.4,211.16,90.37,23.89,River_Interpolated,1,1,2031.2,645.78,1,1,1,1,1,1,0.0,0.0
85.51,48.95,100.02,25.9,2.25,83.03,31.43,71.27,19.76,11.87,30860.6,132.88,90.24,23.72,River_Interpolated,1,1,1173.94,4359.08,1,1,1,1,1,1,0.0,0.0
87.83,48.04,104.35,25.56,2.21,81.06,31.72,71.13,20.23,11.84,31820.53,133.28,90.23,23.7,River_Interpolated,1,1,2386.49,6519.2,1,1,1,1,1,1,0.0,0.0
83.28,48.98,99.28,25.36,2.31,83.15,30.96,69.78,20.52,12.7,29782.2,128.81,90.21,23.72,River_Interpolated,1,1,775.91,5675.22,1,1,1,1,1,1,0.0,0.0
83.83,49.04,99.61,25.17,2.33,82.32,30.93,69.0,21.15,13.0,29826.1,127.42,90.19,23.72,River_Interpolated,1,1,1787.67,7278.5,1,1,1,1,1,1,0.0,0.0
86.65,49.19,87.1,24.83,2.62,85.4,31.06,61.87,26.49,14.72,29610.18,125.7,90.17,23.72,River_Interpolated,1,1,2183.35,9076.57,1,1,1,1,1,1,0.0,0.0
87.32,49.03,87.13,24.79,2.62,85.28,31.14,61.54,26.82,14.75,29825.77,125.98,90.16,23.71,River_Interpolated,1,1,3527.59,10354.01,1,1,1,1,1,1,0.0,0.0
87.7,48.9,86.98,24.72,2.63,85.25,31.18,61.13,27.16,14.85,29913.0,125.93,90.15,23.71,River_Interpolated,1,1,4383.67,11248.76,1,1,1,1,1,1,0.0,0.0
87.95,48.65,86.21,24.48,2.67,85.38,31.15,59.91,28.07,15.23,29837.61,125.03,90.14,23.72,River_Interpolated,1,1,4712.5,11914.2,1,1,1,1,1,1,0.0,0.0
88.23,48.29,85.0,24.1,2.73,85.6,31.09,58.05,29.43,15.81,29681.3,123.58,90.13,23.74,River_Interpolated,1,1,2659.48,11778.16,1,1,1,1,1,1,0.0,0.0
81.65,50.15,86.71,25.01,2.59,86.44,30.39,63.85,24.38,14.6,27975.14,123.41,90.21,23.76,River_Interpolated,1,1,800.98,3989.56,1,1,1,1,1,1,0.0,0.0
100.16,34.86,74.75,16.32,3.63,93.07,31.71,26.39,52.96,24.52,30800.6,115.76,90.22,23.84,River_Interpolated,1,1,2315.07,2400.29,1,5,5,1,1,1,0.0,0.0
87.31,54.15,75.19,23.33,3.17,90.26,30.67,48.83,34.46,20.74,29323.22,121.18,90.26,23.82,River_Interpolated,1,1,1128.4,519.92,1,1,1,1,1,1,0.0,0.0
82.46,52.69,77.04,23.44,3.02,95.75,30.57,47.13,36.69,19.41,30277.77,122.87,90.27,23.81,River_Interpolated,1,1,614.54,1701.56,1,1,1,1,1,1,0.0,0.0
76.21,52.38,79.79,23.03,2.98,106.22,30.63,44.31,38.2,20.14,31567.06,131.99,90.28,23.81,River_Interpolated,1,1,1468.05,2692.58,1,1,1,1,1,1,0.0,0.0
46.69,63.77,90.86,21.24,3.39,163.45,31.33,34.13,35.86,31.66,37342.03,197.93,90.29,23.81,River_Interpolated,1,1,1338.43,3957.37,1,1,1,1,1,1,0.0,0.0
32.07,64.78,95.75,19.8,3.48,192.59,31.69,23.58,41.39,35.57,41296.61,224.21,90.31,23.8,River_Interpolated,1,1,344.83,3440.29,1,1,1,1,1,1,0.0,0.0
21.83,68.1,98.53,18.16,3.67,216.59,32.01,14.49,45.57,40.25,44357.44,244.0,90.31,23.8,River_Interpolated,2,1,260.11,3112.6,1,1,1,1,1,1,0.0,0.0
17.76,64.28,98.98,18.7,3.4,219.05,31.85,11.11,51.11,36.8,45726.57,239.47,90.32,23.8,River_Interpolated,1,1,316.23,2152.32,1,1,1,1,1,1,0.0,0.0
25.54,61.66,96.93,19.92,3.23,200.54,31.57,18.13,48.07,32.99,43351.08,223.1,90.32,23.78,River_Interpolated,1,1,411.17,1775.18,1,1,1,1,1,1,0.0,0.0
18.84,77.04,102.34,15.99,4.41,234.87,32.82,14.74,35.63,51.84,44301.53,281.98,90.33,23.82,River_Interpolated,1,1,1686.9,3080.91,4,5,5,4,5,4,0.0,0.0
